                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.54129,                0.61462,                0.82393,                0.97201,                0.96978,                0.98354,                0.89145,                0.43392,                0.49785,                0.79026,              0.0006634,              0.0006634,              0.0006634
                     36,                0.51052,                0.56858,                0.82691,                0.97246,                0.97193,                0.98443,                0.88379,                0.45255,                0.49022,                0.79282,              0.0006535,              0.0006535,              0.0006535
                     37,                0.50257,                0.56672,                0.82852,                0.97373,                0.97541,                0.98488,                0.88725,                0.43726,                0.47293,                  0.785,              0.0006436,              0.0006436,              0.0006436
                     38,                0.51167,                0.56774,                0.81934,                0.97373,                0.97541,                0.98488,                0.88725,                0.43726,                0.47293,                  0.785,              0.0006337,              0.0006337,              0.0006337
                     39,                0.49913,                0.55953,                0.81848,                0.97232,                0.97647,                0.98501,                0.90478,                0.41613,                0.45105,                0.77809,              0.0006238,              0.0006238,              0.0006238
                     40,                0.49458,                0.59554,                0.82545,                0.97991,                 0.9745,                0.98595,                0.89574,                0.40668,                0.43582,                0.77877,              0.0006139,              0.0006139,              0.0006139
                     41,                0.48756,                0.53314,                0.81467,                0.97732,                0.97776,                0.98641,                0.89861,                0.40177,                0.44074,                0.78123,               0.000604,               0.000604,               0.000604
                     42,                0.48351,                0.53451,                0.83133,                0.97732,                0.97776,                0.98641,                0.89861,                0.40177,                0.44074,                0.78123,              0.0005941,              0.0005941,              0.0005941
                     43,                0.47427,                0.52129,                0.81041,                0.97899,                0.97614,                0.98654,                0.89993,                0.42769,                0.45454,                0.78544,              0.0005842,              0.0005842,              0.0005842
                     44,                0.54459,                0.55859,                0.82394,                0.97982,                0.97331,                0.98657,                 0.8866,                0.46711,                0.47075,                0.79365,              0.0005743,              0.0005743,              0.0005743
                     45,                0.50783,                0.54354,                0.81469,                0.98014,                0.97196,                0.98615,                 0.8848,                0.47096,                0.46842,                0.79799,              0.0005644,              0.0005644,              0.0005644
                     46,                0.52617,                0.60699,                0.83904,                0.98014,                0.97196,                0.98615,                 0.8848,                0.47096,                0.46842,                0.79799,              0.0005545,              0.0005545,              0.0005545
                     47,                0.48448,                 0.5235,                 0.8201,                0.98416,                 0.9691,                 0.9861,                0.89833,                0.42906,                0.44615,                0.79136,              0.0005446,              0.0005446,              0.0005446
                     48,                0.49382,                0.55085,                0.81375,                0.98632,                0.97177,                0.98702,                0.90313,                0.40574,                0.44415,                0.78069,              0.0005347,              0.0005347,              0.0005347
                     49,                0.49194,                0.51895,                0.82228,                0.98418,                0.97219,                0.98707,                0.89884,                0.40852,                0.44245,                0.77907,              0.0005248,              0.0005248,              0.0005248
                     50,                0.49576,                0.51461,                0.81141,                0.98418,                0.97219,                0.98707,                0.89884,                0.40852,                0.44245,                0.77907,              0.0005149,              0.0005149,              0.0005149
                     51,                0.46635,                0.51555,                0.81583,                0.98287,                0.97664,                0.98727,                0.89362,                0.42151,                0.45626,                0.78285,               0.000505,               0.000505,               0.000505
                     52,                0.48326,                0.51685,                0.81336,                0.98388,                0.97465,                  0.987,                0.89979,                0.41716,                 0.4553,                0.78526,              0.0004951,              0.0004951,              0.0004951
                     53,                  0.477,                0.51335,                 0.8254,                0.98206,                0.97951,                0.98778,                0.90771,                0.39964,                0.43669,                0.78181,              0.0004852,              0.0004852,              0.0004852
                     54,                0.47501,                0.50357,                0.82476,                0.98206,                0.97951,                0.98778,                0.90771,                0.39964,                0.43669,                0.78181,              0.0004753,              0.0004753,              0.0004753
                     55,                0.48627,                0.53775,                0.82087,                0.98214,                0.98177,                 0.9878,                 0.9148,                0.37942,                  0.422,                0.77986,              0.0004654,              0.0004654,              0.0004654
                     56,                0.44587,                0.48418,                0.81386,                0.98192,                0.98273,                0.98848,                0.91986,                0.36267,                0.40228,                0.78034,              0.0004555,              0.0004555,              0.0004555
                     57,                0.41662,                0.45275,                0.82389,                0.98167,                0.98522,                 0.9888,                0.91347,                0.37064,                 0.4029,                0.78083,              0.0004456,              0.0004456,              0.0004456
                     58,                0.46514,                0.48021,                0.81352,                0.98167,                0.98522,                 0.9888,                0.91347,                0.37064,                 0.4029,                0.78083,              0.0004357,              0.0004357,              0.0004357
                     59,                0.44103,                0.48392,                0.81423,                0.98055,                0.98411,                 0.9891,                0.91076,                0.37964,                0.40637,                 0.7811,              0.0004258,              0.0004258,              0.0004258
                     60,                0.43829,                0.47349,                 0.8037,                 0.9855,                0.97802,                 0.9893,                0.91232,                0.36836,                0.40791,                0.77763,              0.0004159,              0.0004159,              0.0004159
                     61,                0.45683,                0.47823,                0.80906,                0.98534,                0.97806,                 0.9896,                0.91744,                0.34818,                0.40191,                0.77464,               0.000406,               0.000406,               0.000406
                     62,                0.43826,                0.48859,                0.80914,                0.98534,                0.97806,                 0.9896,                0.91744,                0.34818,                0.40191,                0.77464,              0.0003961,              0.0003961,              0.0003961
                     63,                0.43208,                0.47708,                0.81378,                0.98536,                0.97587,                0.98938,                  0.919,                0.34182,                0.39632,                0.77433,              0.0003862,              0.0003862,              0.0003862
                     64,                0.40743,                0.46105,                0.80084,                0.98156,                 0.9797,                0.98951,                0.92305,                0.34165,                0.39164,                 0.7748,              0.0003763,              0.0003763,              0.0003763
                     65,                0.42625,                0.46497,                  0.802,                0.98072,                0.98073,                0.98985,                0.92341,                0.33387,                0.38427,                0.77412,              0.0003664,              0.0003664,              0.0003664
                     66,                0.43885,                0.47484,                0.81169,                0.98072,                0.98073,                0.98985,                0.92341,                0.33387,                0.38427,                0.77412,              0.0003565,              0.0003565,              0.0003565
                     67,                0.40639,                0.44794,                0.80745,                0.98005,                0.98357,                0.99016,                0.91958,                0.33352,                0.38118,                0.77281,              0.0003466,              0.0003466,              0.0003466
                     68,                0.41246,                0.45419,                0.80445,                0.98024,                0.98418,                0.99025,                0.92001,                0.33398,                0.37389,                0.77195,              0.0003367,              0.0003367,              0.0003367
                     69,                0.39162,                0.42896,                0.79275,                 0.9883,                0.97826,                 0.9904,                0.92391,                0.33586,                0.36412,                0.77214,              0.0003268,              0.0003268,              0.0003268
                     70,                0.42345,                0.45189,                0.79814,                 0.9883,                0.97826,                 0.9904,                0.92391,                0.33586,                0.36412,                0.77214,              0.0003169,              0.0003169,              0.0003169
                     71,                 0.4471,                0.45612,                0.79886,                0.98789,                0.98047,                0.99038,                0.92429,                0.34639,                0.37039,                0.77347,               0.000307,               0.000307,               0.000307
                     72,                0.42187,                0.46699,                0.80447,                0.98719,                0.98071,                 0.9904,                0.92075,                0.34608,                0.37334,                0.77402,              0.0002971,              0.0002971,              0.0002971
                     73,                0.42439,                0.45065,                0.79788,                0.98457,                 0.9852,                0.99044,                0.91756,                0.34674,                0.38035,                0.77377,              0.0002872,              0.0002872,              0.0002872
                     74,                 0.4157,                0.45649,                0.79557,                0.98457,                 0.9852,                0.99044,                0.91756,                0.34674,                0.38035,                0.77377,              0.0002773,              0.0002773,              0.0002773
                     75,                0.44127,                0.46042,                0.80116,                0.98472,                0.98527,                0.99053,                0.92021,                0.34295,                0.37491,                0.77221,              0.0002674,              0.0002674,              0.0002674
                     76,                0.39387,                0.42028,                 0.7996,                0.98656,                0.98436,                0.99066,                0.92833,                 0.3306,                0.36852,                0.77122,              0.0002575,              0.0002575,              0.0002575
                     77,                0.38846,                0.43416,                 0.7998,                0.98554,                0.98505,                0.99081,                0.93079,                0.32788,                0.36041,                0.77104,              0.0002476,              0.0002476,              0.0002476
                     78,                0.39451,                0.42681,                0.79638,                0.98554,                0.98505,                0.99081,                0.93079,                0.32788,                0.36041,                0.77104,              0.0002377,              0.0002377,              0.0002377
                     79,                0.41523,                 0.4381,                0.80169,                0.99126,                0.97995,                0.99099,                0.92933,                0.32974,                0.35698,                0.77128,              0.0002278,              0.0002278,              0.0002278
                     80,                 0.4114,                0.43109,                 0.7981,                0.98593,                0.98444,                0.99085,                0.93031,                0.32315,                0.36243,                0.77138,              0.0002179,              0.0002179,              0.0002179
                     81,                0.37875,                0.40971,                0.80287,                0.98674,                0.98403,                0.99083,                0.93126,                0.32274,                0.36815,                0.77137,               0.000208,               0.000208,               0.000208
                     82,                0.36567,                0.41471,                0.78959,                0.98674,                0.98403,                0.99083,                0.93126,                0.32274,                0.36815,                0.77137,              0.0001981,              0.0001981,              0.0001981
                     83,                0.39369,                0.42157,                0.80347,                0.98432,                0.98703,                0.99082,                0.92831,                0.33159,                0.37736,                0.77175,              0.0001882,              0.0001882,              0.0001882
                     84,                0.40355,                0.42069,                0.81186,                0.98437,                0.98735,                0.99087,                 0.9282,                0.33225,                0.37497,                0.77192,              0.0001783,              0.0001783,              0.0001783
                     85,                 0.3725,                0.40094,                0.79797,                0.98511,                0.98668,                0.99099,                0.93047,                0.32467,                0.36818,                0.77151,              0.0001684,              0.0001684,              0.0001684
                     86,                0.37639,                0.41302,                0.80367,                0.98511,                0.98668,                0.99099,                0.93047,                0.32467,                0.36818,                0.77151,              0.0001585,              0.0001585,              0.0001585
                     87,                0.37907,                0.41794,                0.80098,                0.98181,                0.98983,                0.99112,                0.93137,                0.31563,                0.35799,                0.77168,              0.0001486,              0.0001486,              0.0001486
                     88,                0.36728,                0.40522,                0.79843,                0.98138,                0.99124,                0.99122,                0.93119,                0.31263,                0.35244,                0.77138,              0.0001387,              0.0001387,              0.0001387
                     89,                0.36412,                0.41484,                0.78337,                0.98164,                0.99124,                0.99138,                0.93224,                0.31031,                0.35037,                0.77136,              0.0001288,              0.0001288,              0.0001288
                     90,                0.35818,                0.38834,                0.79575,                0.98164,                0.99124,                0.99138,                0.93224,                0.31031,                0.35037,                0.77136,              0.0001189,              0.0001189,              0.0001189
                     91,                0.37366,                 0.4124,                0.79479,                0.98266,                0.98875,                0.99144,                0.93236,                 0.3096,                0.35039,                0.77141,               0.000109,               0.000109,               0.000109
                     92,                0.36795,                0.39826,                0.79878,                0.98292,                0.99017,                0.99146,                0.93196,                0.31064,                0.35434,                0.77137,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.39225,                0.40932,                0.79002,                 0.9833,                 0.9899,                0.99159,                0.93293,                0.31154,                0.35498,                0.77085,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.38818,                 0.4056,                0.79392,                 0.9833,                 0.9899,                0.99159,                0.93293,                0.31154,                0.35498,                0.77085,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.36998,                 0.4123,                0.79877,                 0.9834,                 0.9899,                0.99162,                0.93241,                0.31005,                0.35226,                0.77039,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.34365,                0.39136,                0.79509,                0.98531,                0.98755,                0.99168,                0.93182,                0.30726,                0.34902,                 0.7701,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.36087,                0.40312,                0.80138,                0.98628,                0.98711,                0.99175,                0.93375,                0.30271,                0.34286,                 0.7697,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.37419,                0.39208,                0.79819,                0.98628,                0.98711,                0.99175,                0.93375,                0.30271,                0.34286,                 0.7697,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.35727,                0.39513,                0.79659,                0.98666,                0.98729,                0.99179,                0.93447,                0.30141,                0.34132,                0.76907,               2.98e-05,               2.98e-05,               2.98e-05
